,Fold,Accuracy,Precision,Recall,F1,ROC_AUC
0,1,0.9633740288568258,0.86875,0.9205298013245033,0.8938906752411575,0.9850949227373068
1,2,0.9478357380688124,0.8431372549019608,0.8486842105263158,0.8459016393442623,0.9819496170332372
2,3,0.9611542730299667,0.8726114649681529,0.9013157894736842,0.8867313915857605,0.9653836694540089
3,4,0.9544950055493896,0.8675496688741722,0.8618421052631579,0.8646864686468647,0.9770834797273558
4,5,0.9577777777777777,0.864516129032258,0.8874172185430463,0.8758169934640523,0.9737309790537494
