,Ortalama,StandartSapma,Minimum,Maksimum
StaticExpectedPercent,70.00976909413855,0.0,70.00976909413853,70.00976909413853
StaticRealizedPercent,70.05728241563055,0.2150117799106493,69.77386027235052,70.54727649496743
TSTrainingExpectedPercent,73.72359732090152,0.23805959686682462,73.03212788632413,73.93952841918473
TSTrainingRealizedPercent,73.77238010657193,0.2851178499646846,73.17471876850207,74.25503256364712
TSFinalPolicyExpectedPercent,74.74884547069271,0.22881994092575664,73.81882770870338,74.81349911190054
OracleExpectedPercent,74.81349911190053,1.4580029302424492e-14,74.81349911190054,74.81349911190054
TrainingExpectedGainPP,3.713828226762975,0.23805959686682435,3.0223587921855977,3.929759325046178
FinalPolicyExpectedGainPP,4.739076376554182,0.22881994092575572,3.809058614564842,4.803730017761998
CorrectSegmentCount,9.85,0.4893604849295928,8.0,10.0
